"pid","NAME","CLASS","POSITION","TPE","CREATED","LINK","USER","USERLINK","JOINED","LAST VISIT","ONLINE FOR","BANK BALANCE","SHL TEAM","IIHF NATION","REPUTATION","ACTIVE","HANDEDNESS","JERSEY NUMBER","HEIGHT","WEIGHT","BIRTHPLACE","TPE AVAILABLE","franchiseID","teamID","team","Inaugural.Season","leagueID","abbr","primary","secondary","alt1","alt2","screening","gettingOpen","passing","puckhandling","shootingAccuracy","shootingRange","offensiveRead","checking","hitting","positioning","stickchecking","shotBlocking","faceoffs","defensiveRead","acceleration","agility","balance","speed","stamina","strength","fighting","aggression","bravery","determination","teamPlayer","leadership","temperament","professionalism","blocker","glove","pokeCheck","rebound","recovery","lowShots","reflexes","skating","mentalToughness","goaltenderStamina","CLEAN_NAME","RENDER","75_Create","75_activity check","75_other","75_training","75_training camp","75_seasonal coaching","75_point task","75_correction","75_recruitment","75_Unretire","75_fantasy","74_Create","74_activity check","74_other","74_training","74_seasonal coaching","74_training camp","74_point task","73_Create","73_other","73_activity check","73_training","73_point task","73_seasonal coaching","73_training camp","74_correction","72_Create","72_activity check","72_other","72_seasonal coaching","72_training","72_training camp","74_recruitment","74_fantasy","72_initial","72_point task","72_fantasy","75_regression","73_regression","72_regression","73_correction","73_recruitment","72_correction"
642,"Liam Oinas","S74","Right Wing",157,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/642","OJJE","https://simulationhockey.com/member.php?action=profile&uid=7885",2023-08-30,2023-09-01,2994,1000000,NA,"Sweden",0,"IA","Left",20,"6ft 0in",200,"City, Sweden",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,16,10,12,5,5,5,5,11,5,5,10,10,10,12,14,10,5,5,5,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liam Oinas","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA
641,"Ben Gunnar-Nuksjaer","S74","Center",157,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/641","Nuki","https://simulationhockey.com/member.php?action=profile&uid=7802",2023-08-25,2023-12-28,5814,4000000,NA,"Unassigned",0,"IA","Left",72,"6ft 2in",190,"Copenhagen, Denmark",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,10,11,11,10,10,9,9,9,9,9,9,9,12,13,13,12,14,9,6,10,10,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ben Gunnar-Nuksjaer","Anton Blidh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA
640,"Erno Joonas","S74","Right Wing",383,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/640","Randominoe","https://simulationhockey.com/member.php?action=profile&uid=3719",2019-02-15,2023-11-14,2095200,40695000,2,"Finland",21,"IA","Left",11,"6ft 4in",180,"Tampere, Finland",44,52,52,"Vancouver Whalers",1,1,"VAN","#018241","#0d1d3f","","",13,13,13,13,13,12,13,13,13,13,13,12,5,13,13,13,13,13,14,14,5,5,12,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erno Joonas","Mikko Rantanen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,10,28,24,3,NA,2,16,24,56,NA,NA,NA,NA,2,5,20,3,14,NA,7,165,NA,NA,NA,NA,NA,NA,NA,NA
639,"Icee Richradson","S74","Left Wing",408,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/639","IceeBreaksTheSHL","https://simulationhockey.com/member.php?action=profile&uid=7763",2023-08-16,2024-04-13,19247,1490000,NA,"USA",0,"Active","Left",1,"6ft 0in",200,"San Francisco, United States",4,63,73,"Great Falls Grizzlies",61,1,"GFG","#b6985a","#936b48","#151211","",13,14,13,13,16,12,13,13,13,11,13,12,12,12,14,12,11,11,15,14,11,9,11,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Icee Richradson","",NA,20,NA,28,30,18,20,NA,NA,NA,NA,NA,16,NA,12,4,24,13,NA,2,12,9,11,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA
638,"Future Considerations","S74","Right Wing",379,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/638","Zetterberg","https://simulationhockey.com/member.php?action=profile&uid=4598",2020-02-03,2024-03-26,25985,550000,9,"Switzerland",1,"IA","Right",40,"6ft 0in",200,"Geneva, Switzerland",20,66,77,"San Diego Tidal",76,1,"SDT","#F0661D","#25B6B3","#0D1927",NA,13,15,10,15,17,12,14,8,10,10,6,6,5,10,14,10,10,15,14,9,5,5,5,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Future Considerations","Moritz Seider",NA,12,NA,8,30,5,NA,NA,NA,NA,NA,NA,12,NA,30,28,24,12,NA,2,10,15,NA,20,NA,NA,NA,2,NA,NA,NA,14,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA
637,"Gordon-William Gibbles","S74","Center",791,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/637","SpartanGibbles","https://simulationhockey.com/member.php?action=profile&uid=3425",2018-12-17,2024-04-13,5428512,20435333,10,"USA",128,"Active","Right",46,"6ft 9in",250,"Minneapolis , United States",366,63,73,"Great Falls Grizzlies",61,1,"GFG","#b6985a","#936b48","#151211","",14,15,13,15,15,12,15,11,12,11,11,11,12,11,14,13,13,14,15,13,5,5,9,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon-William Gibbles","TOTK Ganondorf",NA,26,NA,65,30,56,139,NA,NA,NA,8,NA,18,NA,45,28,24,64,NA,2,16,24,42,20,14,NA,NA,2,10,NA,3,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA
636,"Richard Thomson","S74","Left Defense",160,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/636","richardthomsonleafnation","https://simulationhockey.com/member.php?action=profile&uid=7752",2023-08-14,2023-10-18,11496,10000000,NA,"Great Britain",0,"IA","Left",69,"6ft 2in",218,"Glasgow, Great Britain",5,54,58,"St. Louis Scarecrows",14,1,"STL","#eaaa00","#660000","#cdaf95","#000000",11,5,6,6,6,6,5,12,12,12,12,12,5,11,10,10,12,10,14,12,12,12,5,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Thomson","tim wedderburn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA
635,"Austin Dodd","S74","Left Wing",264,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/635","WetzkyforGretzky","https://simulationhockey.com/member.php?action=profile&uid=7921",2023-09-07,2023-11-07,6056,10858333,NA,"USA",0,"IA","Left",24,"5ft 11in",190,"Indianapolis, United States",0,64,74,"Regina Elk",61,1,"REG","#2F0038","#FBBC19","#D4780D","",13,12,13,12,12,12,12,12,12,12,12,11,12,11,11,11,11,13,14,13,6,11,12,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Austin Dodd","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,24,NA,NA,2,16,23,1,17,NA,NA,NA,2,NA,NA,3,14,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA
634,"The Great Khali","S73","Right Defense",293,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/634","okestboomer","https://simulationhockey.com/member.php?action=profile&uid=6682",2022-11-22,2023-12-14,40491,12800000,NA,"Unassigned",1,"IA","Right",8,"6ft 9in",290,"Dhiraina, India",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,11,11,12,13,13,12,13,13,13,13,5,13,13,13,13,13,14,13,11,11,11,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Great Khali","The Great Khali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,NA,28,5,24,NA,NA,227,4,NA,NA,NA,NA,NA,NA,NA
633,"Axel Hämäläinen","S73","Right Wing",451,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/633","Arayvenn","https://simulationhockey.com/member.php?action=profile&uid=5046",2020-07-23,2023-11-03,313140,8670000,NA,"Finland",10,"IA","Right",10,"5ft 11in",180,"Tampere, Finland",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15,11,14,15,8,15,13,11,13,12,9,5,13,14,13,13,14,14,11,5,5,5,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Axel Hamalainen","Henri Jokiharju",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,2,14,30,62,28,NA,NA,NA,2,NA,NA,5,24,NA,NA,245,16,NA,NA,NA,NA,NA,NA,NA
